epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.778,1.91774,2.43154,1.86587,0.70186,0.52781,0.64128,0.25897,2.07172,1.65448,2.09573,0.000237471,0.000237471,0.000237471
2,218.466,1.88482,1.80798,1.80895,0.6245,0.4866,0.5687,0.23064,2.0333,1.87518,2.00014,0.000470764,0.000470764,0.000470764
3,326.465,1.85428,1.69925,1.78494,0.69546,0.67455,0.73525,0.32206,1.92317,1.49904,1.94013,0.000699344,0.000699344,0.000699344
4,440.107,1.83899,1.61542,1.77992,0.79654,0.74627,0.82741,0.37703,1.85065,1.24041,1.89008,0.000692794,0.000692794,0.000692794
5,555.118,1.79274,1.52477,1.7396,0.84001,0.71424,0.80732,0.35977,1.89358,1.30418,1.93206,0.000685726,0.000685726,0.000685726
6,668.66,1.76316,1.44828,1.71326,0.83665,0.75911,0.84721,0.40238,1.81301,1.12194,1.85279,0.000678657,0.000678657,0.000678657
7,776.573,1.77427,1.41656,1.71401,0.80455,0.74208,0.82481,0.39327,1.79835,1.20451,1.85745,0.000671588,0.000671588,0.000671588
8,889.239,1.75112,1.35844,1.71094,0.822,0.79692,0.86406,0.40323,1.82641,1.07058,1.89058,0.00066452,0.00066452,0.00066452
9,1002.36,1.73858,1.32964,1.70714,0.83908,0.7445,0.84884,0.38747,1.84055,1.15323,1.88325,0.000657451,0.000657451,0.000657451
10,1109.81,1.72978,1.29628,1.69173,0.82383,0.75331,0.85688,0.40588,1.78925,1.05142,1.85327,0.000650383,0.000650383,0.000650383
11,1215.35,1.71621,1.2887,1.67913,0.86605,0.78386,0.87486,0.4007,1.84086,0.97714,1.87712,0.000643314,0.000643314,0.000643314
12,1320.4,1.68892,1.22588,1.6638,0.84814,0.78507,0.87139,0.40573,1.80997,1.07002,1.85549,0.000636245,0.000636245,0.000636245
13,1425.97,1.69684,1.22006,1.6724,0.85612,0.82554,0.89226,0.44257,1.76207,0.93714,1.82172,0.000629177,0.000629177,0.000629177
14,1531.3,1.68409,1.19942,1.65502,0.84561,0.78858,0.86911,0.41916,1.75826,1.03074,1.80106,0.000622108,0.000622108,0.000622108
15,1636.06,1.67921,1.18222,1.63686,0.84532,0.82263,0.8908,0.44349,1.75335,0.96118,1.80899,0.00061504,0.00061504,0.00061504
