epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.78555,3.83396,4.61687,1.79435,0.05507,0.31966,0.06467,0.02232,2.33129,3.40949,1.10029,0.00011424,0.00011424,0.00011424
2,10.288,2.11146,2.22609,1.05654,0.20895,0.72813,0.3456,0.15177,1.90002,20.8026,1.05398,0.000233287,0.000233287,0.000233287
3,15.9594,1.94919,1.60865,1.03192,0.50679,0.45216,0.47056,0.19326,1.97797,3.37785,1.06526,0.000349931,0.000349931,0.000349931
4,21.2195,1.90047,1.41498,1.01894,0.39063,0.57512,0.41202,0.16456,2.012,6.66711,1.05784,0.000464172,0.000464172,0.000464172
5,26.4892,1.88661,1.36093,1.00996,0.35712,0.61819,0.37713,0.14551,2.03687,18.7653,1.06641,0.00057601,0.00057601,0.00057601
6,31.6278,1.90229,1.33949,1.01403,0.60552,0.62996,0.62378,0.2435,2.0456,1.41657,1.09072,0.000678657,0.000678657,0.000678657
7,37.161,1.89441,1.29243,1.009,0.63265,0.59438,0.5976,0.24254,1.99473,2.71916,1.08311,0.000671588,0.000671588,0.000671588
8,42.1699,1.8477,1.24722,0.9996,0.6229,0.55313,0.61318,0.24692,2.01853,1.5512,1.05772,0.00066452,0.00066452,0.00066452
9,47.488,1.83164,1.23215,0.99552,0.70638,0.58263,0.63428,0.25914,1.92998,1.43261,1.01378,0.000657451,0.000657451,0.000657451
10,53.0583,1.8158,1.20596,0.99368,0.76739,0.62658,0.7229,0.30606,1.96069,1.22019,1.02594,0.000650383,0.000650383,0.000650383
11,58.5774,1.79245,1.16273,0.98611,0.79032,0.62264,0.7351,0.30692,1.94211,1.20128,1.01337,0.000643314,0.000643314,0.000643314
