epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4633,0.83802,1.39588,1.36533,1.22862,0.96236,0.94105,0.97789,0.71922,0.96236,0.94105,0.97789,0.81038,0.94298,0.49453,1.15477,1.28591,0.00055164,0.00055164,0.00055164
2,45.1206,0.80728,0.63689,0.97179,1.14689,0.76248,0.95534,0.94268,0.66664,0.76248,0.95534,0.94268,0.77533,1.03754,0.62656,1.1781,1.40494,0.00108538,0.00108538,0.00108538
3,65.9519,0.81336,0.73563,0.93857,1.13749,0.59691,0.95745,0.69071,0.45742,0.59691,0.95745,0.69071,0.54335,1.0178,0.88202,1.43277,1.22996,0.00159712,0.00159712,0.00159712
4,86.6072,0.738,0.63317,0.81234,1.08163,0.93926,0.9719,0.9802,0.82565,0.93926,0.9719,0.9802,0.90805,0.67026,0.48495,0.65912,0.84515,0.00156798,0.00156798,0.00156798
5,107.927,0.67802,0.54594,0.68923,1.04953,0.91515,1,0.98213,0.84769,0.91515,1,0.98213,0.9043,0.76327,0.38277,0.62401,0.99768,0.00153497,0.00153497,0.00153497
6,129.293,0.64862,0.49305,0.67002,1.03646,0.94475,0.95782,0.98188,0.81874,0.94475,0.95782,0.98188,0.91713,0.76649,0.34331,0.61964,0.98353,0.00150197,0.00150197,0.00150197
7,150.328,0.63018,0.48554,0.63944,1.01981,0.96207,1,0.98761,0.88116,0.96207,1,0.98761,0.93133,0.58839,0.48716,0.51141,0.79798,0.00146896,0.00146896,0.00146896
8,171.498,0.59983,0.48971,0.6257,1.00842,0.91488,1,0.97926,0.76461,0.9015,0.98438,0.9748,0.88326,0.81979,0.32994,0.72405,0.93506,0.00143595,0.00143595,0.00143595
9,192.536,0.60347,0.4803,0.64175,1.01363,0.98731,1,0.995,0.841,0.98731,1,0.995,0.94947,0.81411,0.23899,0.53373,0.91322,0.00140295,0.00140295,0.00140295
10,213.745,0.55349,0.44868,0.56534,0.99346,0.95635,1,0.9875,0.8317,0.95635,1,0.9875,0.94082,0.6326,0.24132,0.60247,0.84153,0.00136994,0.00136994,0.00136994
11,237.594,0.55721,0.45599,0.53694,0.97461,0.96677,1,0.995,0.89526,0.96677,1,0.995,0.96224,0.60125,0.24017,0.51067,0.79504,0.00133693,0.00133693,0.00133693
