epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1627,1.44102,1.82,3.11122,1.70321,0.67662,0.50634,0.59362,0.20187,0.69216,0.52436,0.60961,0.27688,2.3795,0.61814,2.66935,1.69954,0.00055164,0.00055164,0.00055164
2,52.1369,1.07766,0.74352,2.05813,1.34141,0.66836,0.52404,0.62329,0.28639,0.66836,0.52404,0.62378,0.40626,2.12687,0.37278,2.81923,1.60827,0.00108538,0.00108538,0.00108538
3,77.384,0.99377,0.58118,1.64246,1.27948,0.79417,0.65832,0.73486,0.38518,0.81148,0.67394,0.75608,0.50104,1.74272,0.42424,1.77023,1.12887,0.00159712,0.00159712,0.00159712
4,97.4975,0.9156,0.50108,1.37795,1.19593,0.99187,0.92938,0.97243,0.42656,0.95811,0.92867,0.9756,0.54177,1.87882,0.3133,1.45997,1.26749,0.00156798,0.00156798,0.00156798
5,117.73,0.8144,0.49277,1.16016,1.15001,0.85231,0.88717,0.94071,0.50793,0.85231,0.88717,0.94071,0.63415,1.54496,0.37688,1.3169,1.0488,0.00153497,0.00153497,0.00153497
6,142.463,0.81811,0.49651,1.09584,1.13093,0.99531,0.99713,0.995,0.49588,0.99531,0.99713,0.995,0.57768,1.61569,0.36211,1.14568,1.05373,0.00150197,0.00150197,0.00150197
7,164.92,0.76762,0.45929,0.969,1.08727,0.99417,0.95312,0.99318,0.52741,0.99417,0.95312,0.99318,0.62148,1.60441,0.29898,0.95849,0.92319,0.00146896,0.00146896,0.00146896
8,189.599,0.75344,0.43766,0.90418,1.07504,0.90819,0.9972,0.98759,0.50635,0.90819,0.9972,0.98759,0.63704,1.63459,0.30112,0.84355,0.83442,0.00143595,0.00143595,0.00143595
9,211.46,0.74625,0.43888,0.82956,1.03946,0.9629,0.95282,0.98811,0.51672,0.9629,0.95282,0.98811,0.67042,1.691,0.33687,0.77814,0.9218,0.00140295,0.00140295,0.00140295
10,233.479,0.72353,0.40526,0.76634,1.04082,0.9937,1,0.995,0.562,0.9937,1,0.995,0.6787,1.48948,0.25892,0.6642,0.81694,0.00136994,0.00136994,0.00136994
