epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9895,1.44282,1.8578,2.44735,1.66316,0.27805,0.48778,0.24049,0.10816,0.27805,0.48778,0.24012,0.14996,2.19913,1.82741,15.5289,2.22812,0.000552817,0.000552817,0.000552817
2,59.3955,1.58125,1.51748,2.13866,1.71185,0.17317,0.21241,0.12692,0.03773,0.15323,0.19455,0.10901,0.04172,1.96521,11.7258,8.18537,2.77057,0.00109281,0.00109281,0.00109281
3,88.6485,1.70789,1.36212,2.14748,1.88467,0.01266,0.40508,0.01234,0.00899,0.01251,0.38722,0.0124,0.00773,1.90001,4.34137,140.803,2.65699,0.00161708,0.00161708,0.00161708
4,126.676,1.55893,1.33589,2.01581,1.77711,0.38083,0.39568,0.41734,0.30411,0.24954,0.23684,0.25708,0.06637,1.65583,9.02984,4.57326,2.13275,0.00159627,0.00159627,0.00159627
5,160.265,1.42008,1.3201,1.74893,1.61535,0.1632,0.60766,0.1726,0.08521,0.1632,0.60766,0.17269,0.10082,1.80877,0.78106,2.99763,1.91552,0.0015727,0.0015727,0.0015727
6,189.757,1.23283,1.10112,1.7333,1.55633,0.72727,0.36184,0.53156,0.41322,0.72727,0.36184,0.53611,0.42622,0.99122,0.67485,7.69047,1.3005,0.00154912,0.00154912,0.00154912
7,236.962,1.11086,0.99364,1.50237,1.42107,0.37206,0.87627,0.65663,0.4855,0.37206,0.87627,0.65218,0.47553,1.29679,1.47762,3.37057,1.55824,0.00152554,0.00152554,0.00152554
8,294.701,1.09517,0.97433,1.3168,1.39105,0.63687,0.83929,0.79068,0.56339,0.63687,0.83929,0.79068,0.62417,1.13783,0.52003,2.23724,1.47224,0.00150197,0.00150197,0.00150197
9,326.721,0.9571,0.89882,1.16282,1.28429,0.64764,1,0.87319,0.66989,0.64764,1,0.87319,0.70566,0.89534,0.48227,1.37032,1.0858,0.00147839,0.00147839,0.00147839
10,357.32,0.91101,0.96885,1.06343,1.25193,0.57869,0.85555,0.74313,0.47418,0.57869,0.85555,0.74313,0.61318,1.26159,0.58316,2.67017,1.29614,0.00145481,0.00145481,0.00145481
11,389.025,0.91455,0.97343,1.02805,1.24927,0.79529,0.89286,0.91065,0.78748,0.79529,0.89286,0.91065,0.79714,0.73848,0.53744,1.2309,0.97528,0.00143124,0.00143124,0.00143124
12,419.232,1.08506,0.89412,1.13768,1.36013,0.8045,0.85554,0.94109,0.71032,0.8045,0.85554,0.94109,0.77058,1.12972,0.60557,0.99961,1.46965,0.00140766,0.00140766,0.00140766
13,453.885,0.96642,0.75735,1.0463,1.28535,0.73364,0.69721,0.75211,0.56467,0.73364,0.69721,0.75336,0.60596,1.05342,0.63441,1.45971,1.17515,0.00138409,0.00138409,0.00138409
14,483.053,0.85119,0.7127,0.94496,1.20682,0.74205,0.91624,0.94509,0.79775,0.74205,0.91624,0.94509,0.84008,0.74364,0.46764,0.76795,0.99696,0.00136051,0.00136051,0.00136051
15,520.409,0.8422,0.74718,0.88522,1.18658,0.94951,0.91071,0.96691,0.80024,0.94951,0.91071,0.96555,0.89303,0.77886,0.4863,0.62588,0.91493,0.00133693,0.00133693,0.00133693
16,550.774,0.76374,0.61836,0.81345,1.13957,0.98982,1,0.995,0.83953,0.98982,1,0.995,0.88511,0.77742,0.61459,0.62962,0.90493,0.00131336,0.00131336,0.00131336
17,594.311,0.77757,0.63546,0.84791,1.14592,0.82325,0.97368,0.93473,0.83341,0.82325,0.97368,0.93473,0.88313,0.6606,0.40138,0.8491,0.85673,0.00128978,0.00128978,0.00128978
18,623.173,0.74508,0.61451,0.83125,1.14403,0.9637,0.98051,0.99379,0.87687,0.9637,0.98051,0.99379,0.89771,0.64739,0.39509,0.62828,0.85822,0.00126621,0.00126621,0.00126621
19,659.576,0.75306,0.65811,0.80265,1.13303,0.90491,0.88439,0.98345,0.78847,0.90491,0.88439,0.98345,0.89187,0.76321,0.53778,0.6343,0.93382,0.00124263,0.00124263,0.00124263
20,688.778,0.73682,0.57608,0.73778,1.1432,0.98282,0.99608,0.995,0.83734,0.97776,0.98214,0.98085,0.85246,0.75593,1.0615,0.62056,0.90957,0.00121905,0.00121905,0.00121905
21,718.531,0.67827,0.58214,0.68978,1.09506,0.8495,0.99886,0.90153,0.76045,0.8495,0.99886,0.90153,0.81525,0.76861,0.40893,0.71045,0.82509,0.00119548,0.00119548,0.00119548
22,751.419,0.70802,0.59113,0.73337,1.11469,0.9839,1,0.995,0.83143,0.9839,1,0.995,0.94675,0.76416,0.30745,0.57913,0.85809,0.0011719,0.0011719,0.0011719
23,797.359,0.66106,0.57863,0.70072,1.05933,0.95117,1,0.99448,0.71806,0.95117,1,0.99448,0.80091,1.00978,0.33075,0.88694,1.17764,0.00114832,0.00114832,0.00114832
24,835.034,0.68471,0.52824,0.71057,1.06767,0.9796,0.9678,0.98517,0.88729,0.9796,0.9678,0.98517,0.91795,0.64508,0.35879,0.63262,0.84626,0.00112475,0.00112475,0.00112475
25,886.018,0.67951,0.53542,0.67715,1.07038,0.98378,0.95798,0.99062,0.85346,0.98378,0.95798,0.99062,0.89977,0.67941,0.40741,0.62661,0.83604,0.00110117,0.00110117,0.00110117
26,923.837,0.62851,0.4447,0.66812,1.0639,0.98348,1,0.995,0.88088,0.98348,1,0.995,0.93566,0.63626,0.26834,0.63118,0.8131,0.0010776,0.0010776,0.0010776
27,971.663,0.6407,0.51096,0.67427,1.07015,0.79288,0.94737,0.92985,0.73557,0.79288,0.94737,0.92985,0.79823,0.81975,0.38605,1.10375,0.91002,0.00105402,0.00105402,0.00105402
