epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.445,2.06738,1.51899,3.13953,1.90438,0.28078,0.44049,0.35245,0.13434,0.25321,0.40725,0.31298,0.17484,2.4732,1.96624,3.00046,1.36273,0.000554324,0.000554324,0.000554324
2,317.489,1.95299,1.26863,2.09348,1.81964,0.16322,0.64528,0.16461,0.04146,0.16257,0.63464,0.15648,0.04974,2.95313,1.37882,2.90757,1.74498,0.001099,0.001099,0.001099
3,482.973,1.78048,1.15314,1.82115,1.67067,0.0472,0.37766,0.0317,0.00833,0.04692,0.36203,0.03166,0.01256,2.91367,1.12111,10.6436,1.66586,0.00163268,0.00163268,0.00163268
4,640.966,1.53704,1.02449,1.4675,1.5234,0.66478,0.68963,0.73696,0.25485,0.66487,0.73105,0.69725,0.36194,2.43183,1.06749,1.70942,1.31971,0.00161749,0.00161749,0.00161749
5,800.717,1.2977,0.88353,1.23304,1.39081,0.53218,0.71179,0.6796,0.23558,0.48984,0.79555,0.67455,0.31215,2.36108,1.03578,1.58697,1.33658,0.00160099,0.00160099,0.00160099
6,966.515,1.24107,0.87299,1.11673,1.30193,0.41382,0.88863,0.583,0.19646,0.41382,0.88863,0.60419,0.24161,2.21739,0.65179,1.85566,0.95309,0.00158448,0.00158448,0.00158448
7,1124.84,1.1784,0.74795,1.01935,1.22978,0.59733,0.88521,0.79712,0.34527,0.60358,0.90083,0.80274,0.40194,2.19834,0.98511,1.16748,0.89368,0.00156798,0.00156798,0.00156798
8,1284.36,1.16621,0.70905,0.9472,1.22332,0.47312,0.80186,0.65202,0.35697,0.49692,0.87999,0.67846,0.44062,2.05525,0.352,1.19693,1.07526,0.00155148,0.00155148,0.00155148
9,1455.98,1.1505,0.65327,0.9148,1.14752,0.69055,0.88923,0.78853,0.38563,0.69055,0.88923,0.79587,0.48336,1.89387,0.40587,1.0528,0.94765,0.00153497,0.00153497,0.00153497
10,1624.76,1.07554,0.63428,0.87845,1.15329,0.58527,0.83817,0.73773,0.28311,0.60071,0.85617,0.74646,0.33771,1.94668,0.44586,1.20554,0.98366,0.00151847,0.00151847,0.00151847
11,1782.5,1.00994,0.52818,0.78657,1.12785,0.52897,0.96397,0.77072,0.33118,0.5416,0.99522,0.79533,0.41431,2.10171,0.41953,1.45117,1.14179,0.00150197,0.00150197,0.00150197
12,1948.85,1.02116,0.57233,0.78906,1.10765,0.52338,1,0.87766,0.40267,0.52338,1,0.87766,0.51701,1.99361,0.42168,1.44893,0.93957,0.00148546,0.00148546,0.00148546
13,2111.57,1.08123,0.54917,0.79457,1.10286,0.56959,0.98936,0.87378,0.39412,0.56959,0.98936,0.87378,0.47974,1.90468,0.36615,1.23244,0.93234,0.00146896,0.00146896,0.00146896
14,2267.95,0.99836,0.53779,0.74424,1.06144,0.53286,0.97793,0.71344,0.29445,0.53989,0.98607,0.71445,0.33395,1.90095,0.66556,1.06353,0.8602,0.00145246,0.00145246,0.00145246
15,2427.56,0.96708,0.51786,0.73845,1.06427,0.55505,0.99417,0.76513,0.38241,0.55505,0.99417,0.76513,0.44405,1.7771,0.30991,1.25026,0.83158,0.00143595,0.00143595,0.00143595
16,2582.64,0.96588,0.4947,0.70934,1.03847,0.53438,1,0.77538,0.35999,0.53438,1,0.77538,0.41318,1.75884,0.32634,1.36978,1.08411,0.00141945,0.00141945,0.00141945
17,2742.74,0.96059,0.49984,0.72032,1.03184,0.53172,1,0.69348,0.33935,0.53172,1,0.69348,0.39717,1.84151,0.45783,1.4731,1.03586,0.00140295,0.00140295,0.00140295
18,2898.48,0.95138,0.45634,0.70823,1.03239,0.62649,0.98936,0.87681,0.45855,0.62649,0.98936,0.87681,0.56704,1.84165,0.30594,1.33335,1.0725,0.00138644,0.00138644,0.00138644
19,3055.61,0.89693,0.44965,0.665,1.04836,0.58016,1,0.71751,0.37812,0.58016,1,0.71751,0.46318,1.80076,0.36039,1.14598,0.87886,0.00136994,0.00136994,0.00136994
20,3216.08,0.8893,0.44533,0.6631,1.01866,0.55133,0.98969,0.81059,0.40793,0.55133,0.98969,0.81059,0.49491,1.70952,0.27198,1.51533,0.90685,0.00135344,0.00135344,0.00135344
21,3371.4,0.9089,0.40421,0.66281,1.01384,0.62034,1,0.78995,0.42245,0.62034,1,0.78995,0.50543,1.7269,0.27857,1.07421,0.85565,0.00133693,0.00133693,0.00133693
22,3526.92,0.88078,0.43261,0.65719,1.00205,0.55455,1,0.68912,0.35146,0.55455,1,0.68912,0.39199,1.68203,0.51648,2.00356,0.85769,0.00132043,0.00132043,0.00132043
23,3689.81,0.90834,0.46598,0.65662,0.97723,0.60666,0.85929,0.70071,0.34774,0.60666,0.85929,0.70071,0.41203,1.90555,0.65988,1.31694,0.81552,0.00130393,0.00130393,0.00130393
24,3845.58,0.89632,0.42857,0.63131,1.00783,0.63665,1,0.73231,0.39126,0.63665,1,0.73231,0.49604,1.70275,0.25535,1.09917,0.7731,0.00128742,0.00128742,0.00128742
25,4001.56,0.86339,0.39268,0.61052,0.98208,0.56786,0.98936,0.7293,0.36771,0.56786,0.98936,0.7293,0.47425,1.8356,0.24628,2.02139,0.85413,0.00127092,0.00127092,0.00127092
26,4157.78,0.85209,0.37985,0.61678,0.99787,0.57412,0.9947,0.82589,0.45309,0.57412,0.9947,0.82589,0.55438,1.67323,0.30434,1.90319,0.8185,0.00125442,0.00125442,0.00125442
27,4314.67,0.91714,0.37609,0.59878,0.97299,0.62987,0.98936,0.77647,0.38161,0.62987,0.98936,0.77647,0.47085,1.74221,0.28633,1.41785,0.86805,0.00123791,0.00123791,0.00123791
28,4470.81,0.82947,0.37273,0.59111,0.97347,0.58351,1,0.77214,0.40647,0.58351,1,0.77214,0.49387,1.61546,0.24732,1.48207,0.72894,0.00122141,0.00122141,0.00122141
29,4626.21,0.80584,0.37147,0.58744,0.98173,0.56612,1,0.71249,0.3818,0.56612,1,0.71249,0.46478,1.62413,0.28746,1.55823,0.83214,0.00120491,0.00120491,0.00120491
30,4790.51,0.89914,0.41131,0.60456,0.9526,0.59812,1,0.70991,0.37013,0.59812,1,0.70991,0.44225,1.59182,0.27352,1.60586,0.78404,0.0011884,0.0011884,0.0011884
