epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.75463,4.37995,7.83086,0.74304,10.6196,4.39769,0,0,0,0,0.00128,0.16667,0.0019,0.00019,6.75019,8.21957,0.70363,7.70146,5.83153,0.00028,0.00028,0.00028
2,9.0282,3.11529,7.34427,0.71643,1.94987,3.14779,0,0,0,0,0.00976,0.16667,0.00535,0.00053,5.14578,10.1127,0.6973,3.85037,8.21747,0.000568516,0.000568516,0.000568516
3,12.2513,2.70538,7.73074,0.70103,1.71247,3.0497,0,0,0,0,0.00658,0.33333,0.00474,0.00047,6.03046,10.9983,0.70366,2.49644,4.87389,0.000845152,0.000845152,0.000845152
4,15.681,2.37123,6.96964,0.69548,1.28775,2.79757,0,0,0,0,0,0,0,0,5.71961,11.7313,0.69503,5.09924,6.43143,0.00110991,0.00110991,0.00110991
5,19.1743,2.45967,7.35848,0.69728,1.2814,2.82626,0,0,0,0,0,0,0,0,5.53556,8.25139,0.7106,2.73369,6.26388,0.00136278,0.00136278,0.00136278
6,22.6092,2.44806,7.29392,0.69246,1.25462,2.90211,0,0,0,0,0,0,0,0,5.84717,11.7468,0.65679,2.91186,3.74807,0.00160378,0.00160378,0.00160378
7,27.0362,2.21679,7.05989,0.6756,1.20341,2.65709,0,0,0,0,0,0,0,0,5.21621,8.756,0.78269,3.06213,5.3583,0.0017624,0.0017624,0.0017624
8,30.4626,2.48346,6.90241,0.67847,1.33901,2.73757,0,0,0,0,0.00317,0.16667,0.00263,0.00026,5.25534,10.4209,0.76143,2.93546,3.9899,0.0017228,0.0017228,0.0017228
9,35.4992,2.19847,6.54457,0.67721,1.18938,2.56976,0,0,0,0,0.00597,0.33333,0.01091,0.00109,5.13663,8.16594,0.92067,2.86332,4.33382,0.0016832,0.0016832,0.0016832
10,40.5349,2.14104,6.35473,0.67342,1.02635,2.55844,0,0,0,0,0.00441,0.16667,0.00262,0.00026,5.25237,8.81605,0.8976,2.82131,4.37372,0.0016436,0.0016436,0.0016436
11,45.5152,2.01312,6.42918,0.69807,1.02743,2.47462,0,0,0,0,0.00441,0.16667,0.00262,0.00026,5.25237,8.81605,0.8976,2.82131,4.37372,0.001604,0.001604,0.001604
12,50.5042,2.29556,6.63906,0.6716,1.0818,2.41071,0,0,0,0,0.00549,0.33333,0.00734,0.00127,5.2401,10.568,0.84344,3.15823,2.77248,0.0015644,0.0015644,0.0015644
13,55.3909,1.87623,6.51661,0.64838,0.92688,2.22107,0,0,0,0,0.06281,0.33333,0.0257,0.00365,4.84325,8.25886,0.64961,2.81574,2.44263,0.0015248,0.0015248,0.0015248
14,60.3914,1.84043,6.51722,0.65955,0.85688,2.32199,0,0,0,0,0.00595,0.33333,0.0055,0.0008,4.83829,7.50392,0.65305,1.79169,2.62616,0.0014852,0.0014852,0.0014852
15,65.3812,1.87585,5.97818,0.64458,0.91795,2.23316,0,0,0,0,0.00909,0.33333,0.0085,0.00136,4.74562,7.83671,0.64822,1.89421,2.15476,0.0014456,0.0014456,0.0014456
16,70.4789,1.57557,6.27623,0.64166,0.83825,2.08539,0,0,0,0,0.00379,0.16667,0.00334,0.00033,4.64808,9.37133,0.64883,1.58037,1.72148,0.001406,0.001406,0.001406
17,75.4885,1.49608,6.29096,0.6459,0.76847,1.99763,0,0,0,0,0.0137,0.16667,0.00858,0.00086,4.2016,6.78751,0.69469,1.23182,1.54753,0.0013664,0.0013664,0.0013664
18,79.7053,1.78221,5.67674,0.61172,0.84852,1.98868,0,0,0,0,0,0,0,0,4.38332,7.76983,0.65717,1.28983,1.76937,0.0013268,0.0013268,0.0013268
19,82.8149,1.55418,5.48548,0.61042,0.77613,2.01312,0.29083,0.16667,0.05822,0.00582,0,0,0,0,4.0633,6.99495,0.79331,1.30767,1.30023,0.0012872,0.0012872,0.0012872
20,86.6229,1.55301,6.1235,0.61954,0.85108,1.91214,0.19874,0.16667,0.0581,0.00581,0,0,0,0,4.05357,7.22427,0.86135,1.24203,1.2254,0.0012476,0.0012476,0.0012476
21,91.6708,1.43721,6.16125,0.60794,0.791,1.87439,0,0,0,0,0,0,0,0,4.32687,8.43461,0.73564,1.58511,1.58864,0.001208,0.001208,0.001208
22,96.6817,1.47098,5.97276,0.60877,0.79385,1.97626,0,0,0,0,0,0,0,0,4.19439,8.15403,0.81723,1.63908,1.49331,0.0011684,0.0011684,0.0011684
