epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.841,1.29294,1.7589,1.03628,0.34525,0.33882,0.36293,0.23615,1.23993,4.74193,1.1149,0.000549493,0.000549493,0.000549493
2,36.6109,1.42677,1.45628,1.09361,0.36311,0.43092,0.40388,0.24783,1.30842,2.76172,1.13017,0.00109422,0.00109422,0.00109422
3,55.4347,1.80678,1.63114,1.31729,0.72247,0.39803,0.33174,0.147,1.88896,4.67895,1.83294,0.00162794,0.00162794,0.00162794
4,74.0514,1.61328,1.63078,1.25523,0.85225,0.33553,0.44066,0.18104,1.86185,2.33561,1.47351,0.00161749,0.00161749,0.00161749
5,92.6023,1.8238,1.35633,1.31374,0.79796,0.34445,0.36574,0.16392,1.56136,1.62531,1.2451,0.00160099,0.00160099,0.00160099
6,111.156,1.54319,1.38401,1.15233,0.60593,0.44408,0.14282,0.06172,1.43171,17.5234,1.13751,0.00158448,0.00158448,0.00158448
7,134.136,1.45533,1.68491,1.11794,0.41583,0.54057,0.16108,0.04979,1.39137,43.1936,1.18373,0.00156798,0.00156798,0.00156798
8,157.868,1.38525,1.05525,1.11896,0.92924,0.39909,0.55678,0.2756,1.35806,1.1722,1.20232,0.00155148,0.00155148,0.00155148
9,185.366,1.37741,0.95158,1.1002,0.69254,0.55044,0.54681,0.29468,1.20879,0.96412,1.05653,0.00153497,0.00153497,0.00153497
10,212.819,1.26708,0.8655,1.05094,0.90087,0.439,0.57814,0.30855,1.2781,0.87781,1.05968,0.00151847,0.00151847,0.00151847
11,241.688,1.30238,0.79166,1.05772,0.94426,0.44572,0.62689,0.37005,1.18296,0.76993,1.07043,0.00150197,0.00150197,0.00150197
12,267.683,1.23276,0.77563,1.0404,0.94358,0.41776,0.63692,0.34219,1.2425,0.87925,1.06466,0.00148546,0.00148546,0.00148546
13,286.545,1.23488,0.76365,1.05281,0.69763,0.65022,0.65535,0.3433,1.18816,0.74185,1.04933,0.00146896,0.00146896,0.00146896
14,305.629,1.17193,0.72986,1.01877,0.67737,0.62098,0.64335,0.38875,1.22871,0.80131,1.06413,0.00145246,0.00145246,0.00145246
15,324.891,1.20264,0.7787,1.01883,0.81204,0.63519,0.66812,0.42418,1.1262,0.70233,1.03467,0.00143595,0.00143595,0.00143595
16,344.073,1.15311,0.7165,1.01789,0.85373,0.64364,0.67824,0.38825,1.14833,0.69012,1.05919,0.00141945,0.00141945,0.00141945
17,362.619,1.10218,0.70927,1.00031,0.82475,0.60746,0.66813,0.38852,1.17334,0.81983,1.03406,0.00140295,0.00140295,0.00140295
18,381.244,1.07982,0.64507,0.99904,0.96412,0.46801,0.66705,0.36265,1.23212,0.6832,1.05053,0.00138644,0.00138644,0.00138644
19,399.921,1.07827,0.63333,0.981,0.95801,0.46648,0.67491,0.32993,1.2417,0.70082,1.05506,0.00136994,0.00136994,0.00136994
20,418.565,1.04893,0.62582,0.97984,0.95388,0.48026,0.60847,0.3574,1.13418,0.63719,1.00851,0.00135344,0.00135344,0.00135344
21,437.193,1.08338,0.64355,0.99018,0.96948,0.45536,0.62038,0.31855,1.27524,0.72886,1.07474,0.00133693,0.00133693,0.00133693
22,455.883,1.06539,0.62036,0.99853,0.98316,0.47192,0.68168,0.39303,1.20152,0.63549,1.0483,0.00132043,0.00132043,0.00132043
23,474.436,1.05928,0.60359,0.97789,0.96239,0.48684,0.76141,0.4035,1.07823,0.5915,0.99565,0.00130393,0.00130393,0.00130393
24,493.074,1.026,0.58519,0.97443,0.86084,0.64476,0.68535,0.36782,1.0983,0.66088,1.05085,0.00128742,0.00128742,0.00128742
25,511.87,1.06855,0.58588,0.95871,0.97356,0.47134,0.58108,0.35981,1.04746,0.63386,1.01123,0.00127092,0.00127092,0.00127092
