epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9876,1.15144,1.05318,0.99966,0.89984,0.42183,0.46802,0.29392,1.06498,0.99244,1.02799,0.000552902,0.000552902,0.000552902
2,86.1263,1.20692,0.84369,1.06789,0.62389,0.59771,0.61185,0.38589,1.17883,0.70005,1.07555,0.00110583,0.00110583,0.00110583
3,126.444,1.29498,0.91752,1.10148,0.95165,0.45324,0.56109,0.33683,1.22257,0.73827,1.14379,0.001656,0.001656,0.001656
4,165.926,1.32377,1.00229,1.15127,0.98107,0.44879,0.50896,0.32142,1.22233,0.71832,1.10205,0.00165462,0.00165462,0.00165462
5,205.79,1.23506,0.81995,1.08399,0.60119,0.55526,0.54166,0.33532,1.09998,0.72599,1.0863,0.0016505,0.0016505,0.0016505
6,247.812,1.17578,0.72899,1.0673,0.94333,0.45148,0.49655,0.29146,1.26146,0.75384,1.13142,0.00164637,0.00164637,0.00164637
7,287.94,1.09467,0.70564,1.01308,0.50169,0.5566,0.54058,0.34974,1.09889,0.61918,1.04172,0.00164225,0.00164225,0.00164225
8,328.137,1.06678,0.63266,1.00487,0.57767,0.46968,0.49707,0.33019,1.04291,0.84895,1.05086,0.00163812,0.00163812,0.00163812
9,368.231,1.1429,0.65545,1.02954,0.94822,0.45148,0.55513,0.36055,1.16211,0.68795,1.04723,0.00163399,0.00163399,0.00163399
10,408.221,1.11237,0.62886,1.04787,0.97379,0.46092,0.59432,0.38598,1.1048,0.64602,1.0448,0.00162987,0.00162987,0.00162987
11,448.235,1.02419,0.60032,0.97602,0.96216,0.47439,0.60633,0.37815,1.01662,0.62814,1.01295,0.00162574,0.00162574,0.00162574
12,488.393,1.03307,0.68559,0.98871,0.82404,0.58558,0.60107,0.3786,1.00394,0.59539,1.01509,0.00162162,0.00162162,0.00162162
13,528.428,1.05242,0.62642,0.99493,0.83067,0.54367,0.57507,0.37122,1.03802,0.60174,1.02031,0.00161749,0.00161749,0.00161749
14,568.574,0.99517,0.58253,0.97842,0.98034,0.47978,0.54245,0.36902,0.96753,0.54273,0.99257,0.00161336,0.00161336,0.00161336
15,608.464,1.01245,0.56535,0.97597,0.92877,0.5566,0.57379,0.40743,0.97507,0.52497,1.00248,0.00160924,0.00160924,0.00160924
16,651.746,0.99956,0.5521,0.97971,0.83661,0.56604,0.61895,0.3837,1.03698,0.56878,1.0038,0.00160511,0.00160511,0.00160511
17,691.687,1.00714,0.55992,0.97196,0.98464,0.48518,0.62715,0.41276,0.95593,0.5204,0.97668,0.00160099,0.00160099,0.00160099
18,732.253,0.97176,0.53871,0.95763,0.6393,0.63747,0.61755,0.40339,0.95806,0.50853,0.96496,0.00159686,0.00159686,0.00159686
19,772.408,0.99055,0.53807,0.95867,0.79616,0.5593,0.61604,0.44415,0.92431,0.47885,0.96386,0.00159274,0.00159274,0.00159274
20,816.462,0.93418,0.51454,0.95171,0.67998,0.59771,0.62642,0.43843,0.92447,0.49533,0.96009,0.00158861,0.00158861,0.00158861
21,855.83,0.94239,0.52395,0.9501,0.86688,0.57807,0.6284,0.4137,1.01431,0.51894,0.9877,0.00158448,0.00158448,0.00158448
22,895.149,0.99606,0.53599,0.96318,0.93936,0.62836,0.68332,0.46504,0.98486,0.49518,0.98158,0.00158036,0.00158036,0.00158036
23,935.069,0.98732,0.54052,0.97077,0.75123,0.63342,0.65207,0.42998,0.97868,0.52247,0.9722,0.00157623,0.00157623,0.00157623
24,974.273,0.98105,0.52317,0.94932,0.93532,0.63342,0.67278,0.44916,0.93567,0.47587,0.95424,0.00157211,0.00157211,0.00157211
25,1016.14,0.93741,0.49989,0.9407,0.61445,0.56604,0.62006,0.42609,0.96464,0.48784,0.96833,0.00156798,0.00156798,0.00156798
26,1055.5,0.93381,0.49934,0.94849,0.80301,0.5941,0.66077,0.454,0.93848,0.47545,0.96167,0.00156385,0.00156385,0.00156385
27,1094.93,0.90232,0.49065,0.93334,0.70579,0.59771,0.60778,0.41614,0.91683,0.47533,0.96513,0.00155973,0.00155973,0.00155973
28,1134.28,0.92846,0.51121,0.94664,0.82835,0.58638,0.61418,0.41476,0.92533,0.47305,0.97838,0.0015556,0.0015556,0.0015556
29,1173.56,0.89832,0.49697,0.93264,0.94868,0.55992,0.61125,0.42873,0.93091,0.47459,0.96628,0.00155148,0.00155148,0.00155148
30,1215.56,0.91525,0.49351,0.93966,0.91502,0.56334,0.60456,0.39555,0.94919,0.47735,0.96995,0.00154735,0.00154735,0.00154735
31,1254.8,0.89384,0.49342,0.94243,0.65027,0.63747,0.64324,0.45567,0.91388,0.46611,0.96023,0.00154323,0.00154323,0.00154323
32,1293.78,0.90477,0.51414,0.92656,0.84412,0.62287,0.65987,0.46374,0.8889,0.46175,0.94576,0.0015391,0.0015391,0.0015391
33,1332.86,0.90108,0.51461,0.93626,0.75619,0.59771,0.62628,0.43726,0.90805,0.48435,0.94767,0.00153497,0.00153497,0.00153497
34,1372,0.84186,0.47686,0.91298,0.97031,0.63208,0.65728,0.46508,0.96731,0.4856,0.98505,0.00153085,0.00153085,0.00153085
35,1411.29,0.88012,0.47903,0.92312,0.80088,0.65212,0.663,0.46027,0.90941,0.44965,0.95883,0.00152672,0.00152672,0.00152672
36,1450.52,0.90824,0.48036,0.92517,0.82756,0.61831,0.64652,0.4479,0.93943,0.45291,0.96033,0.0015226,0.0015226,0.0015226
37,1489.86,0.87468,0.45898,0.93235,0.96465,0.63477,0.65397,0.45765,0.88168,0.45615,0.94354,0.00151847,0.00151847,0.00151847
38,1529.18,0.85012,0.46974,0.91831,0.83346,0.63208,0.65074,0.45434,0.9008,0.46429,0.95527,0.00151434,0.00151434,0.00151434
39,1568.55,0.85293,0.46422,0.91993,0.85098,0.63073,0.64841,0.46968,0.93657,0.47299,0.96249,0.00151022,0.00151022,0.00151022
40,1608.63,0.85694,0.48476,0.92329,0.77093,0.67049,0.66812,0.44874,0.98116,0.47971,0.97092,0.00150609,0.00150609,0.00150609
